label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
Hello,0.0,0.0,0.0,-0.101562,-0.11397,-0.028081,-0.178568,-0.287801,-0.042086,-0.232,-0.427077,-0.058713,-0.289606,-0.510591,-0.075089,-0.098736,-0.524977,0.003894,-0.117985,-0.71518,-0.017153,-0.125078,-0.824868,-0.041514,-0.130827,-0.923336,-0.061691,-0.032749,-0.544895,-0.005348,-0.041904,-0.759317,-0.022936,-0.045663,-0.888291,-0.045636,-0.049016,-0.996708,-0.064579,0.032725,-0.518784,-0.021968,0.028581,-0.719022,-0.041727,0.02161,-0.83694,-0.061824,0.012549,-0.935771,-0.077023,0.099867,-0.454202,-0.042981,0.119457,-0.605611,-0.057584,0.126903,-0.702954,-0.067043,0.13016,-0.792153,-0.075233
Hello,0.0,0.0,0.0,-0.099853,-0.119378,-0.028258,-0.175848,-0.291292,-0.042911,-0.230989,-0.431155,-0.06031,-0.287951,-0.520524,-0.077031,-0.097123,-0.528922,0.006268,-0.116274,-0.718188,-0.014847,-0.123409,-0.826135,-0.039168,-0.129191,-0.922033,-0.058643,-0.032279,-0.548189,-0.002577,-0.04134,-0.763251,-0.019001,-0.044047,-0.891864,-0.040568,-0.046989,-0.997184,-0.058452,0.032528,-0.521411,-0.019186,0.028537,-0.721431,-0.037454,0.022633,-0.837898,-0.056578,0.014234,-0.934348,-0.070961,0.09894,-0.457301,-0.040297,0.118134,-0.609846,-0.052948,0.126922,-0.707203,-0.06124,0.132381,-0.795834,-0.068483
Hello,0.0,0.0,0.0,-0.101907,-0.114914,-0.027035,-0.177462,-0.287212,-0.040902,-0.232068,-0.429383,-0.057207,-0.289676,-0.51767,-0.073116,-0.097024,-0.523307,0.004658,-0.116435,-0.712556,-0.01516,-0.124456,-0.824008,-0.038878,-0.13023,-0.922957,-0.058509,-0.031247,-0.542642,-0.004729,-0.03782,-0.757141,-0.020562,-0.041442,-0.888823,-0.042904,-0.046936,-0.996999,-0.061565,0.033715,-0.5152,-0.021213,0.03147,-0.713072,-0.038548,0.023802,-0.833071,-0.058926,0.011371,-0.931896,-0.074693,0.099019,-0.451264,-0.0419,0.12052,-0.603861,-0.055004,0.127907,-0.703909,-0.064567,0.128637,-0.794804,-0.072822
Hello,0.0,0.0,0.0,-0.10266,-0.115085,-0.028782,-0.178912,-0.283942,-0.043713,-0.233854,-0.42419,-0.060727,-0.28914,-0.512978,-0.077012,-0.097177,-0.516778,0.002397,-0.116512,-0.705284,-0.018,-0.124937,-0.816158,-0.041552,-0.131218,-0.915095,-0.060909,-0.031418,-0.536547,-0.006343,-0.038227,-0.752337,-0.022938,-0.041372,-0.88718,-0.044996,-0.046181,-0.99693,-0.063235,0.032925,-0.509485,-0.02236,0.030406,-0.708927,-0.040748,0.021959,-0.829269,-0.060872,0.009142,-0.927021,-0.07611,0.097984,-0.445696,-0.042685,0.120693,-0.595929,-0.056506,0.128856,-0.694958,-0.066146,0.130594,-0.784713,-0.074189
Hello,0.0,0.0,0.0,-0.101945,-0.117367,-0.028593,-0.17769,-0.286406,-0.043596,-0.232982,-0.426545,-0.060789,-0.288439,-0.515288,-0.077195,-0.09641,-0.518153,0.003348,-0.115728,-0.706538,-0.017059,-0.123842,-0.816826,-0.040728,-0.129486,-0.915604,-0.060042,-0.030933,-0.5366,-0.005635,-0.037964,-0.751523,-0.022293,-0.040551,-0.886432,-0.04459,-0.044176,-0.997045,-0.062853,0.033172,-0.508436,-0.02193,0.030881,-0.708275,-0.040607,0.022985,-0.828254,-0.060707,0.01101,-0.926814,-0.075654,0.097539,-0.444126,-0.0425,0.120344,-0.595323,-0.056544,0.12893,-0.694674,-0.066027,0.131579,-0.785415,-0.07377
Hello,0.0,0.0,0.0,-0.103358,-0.116374,-0.028059,-0.178262,-0.285346,-0.042621,-0.230052,-0.426261,-0.059515,-0.284036,-0.518668,-0.075927,-0.095166,-0.51606,0.003057,-0.114916,-0.706083,-0.017078,-0.123079,-0.818012,-0.040472,-0.128566,-0.917621,-0.059755,-0.02901,-0.536307,-0.006276,-0.036195,-0.752959,-0.022482,-0.039515,-0.887819,-0.044429,-0.044287,-0.997052,-0.062654,0.035191,-0.509025,-0.022848,0.033988,-0.709942,-0.041045,0.025927,-0.831048,-0.061171,0.013635,-0.930371,-0.076528,0.100097,-0.444169,-0.043657,0.122582,-0.595118,-0.05769,0.130959,-0.694468,-0.067348,0.133273,-0.785049,-0.075403
Hello,0.0,0.0,0.0,-0.102134,-0.117854,-0.028091,-0.176706,-0.286717,-0.042312,-0.229434,-0.426046,-0.058875,-0.284208,-0.515933,-0.074932,-0.096283,-0.518656,0.004343,-0.115792,-0.708551,-0.015586,-0.123185,-0.820574,-0.038944,-0.128307,-0.919858,-0.058038,-0.030607,-0.538824,-0.004604,-0.037787,-0.75521,-0.020399,-0.04082,-0.888911,-0.041971,-0.045397,-0.997179,-0.059782,0.033432,-0.512034,-0.020895,0.031648,-0.712199,-0.038635,0.024835,-0.832499,-0.058489,0.014066,-0.930945,-0.073437,0.097829,-0.448195,-0.041486,0.119286,-0.600955,-0.054795,0.128089,-0.699889,-0.06387,0.131767,-0.789523,-0.071441
Hello,0.0,0.0,0.0,-0.102766,-0.116477,-0.027253,-0.17762,-0.286071,-0.041052,-0.229524,-0.427206,-0.057279,-0.283583,-0.518388,-0.072912,-0.095655,-0.515657,0.005082,-0.114694,-0.705162,-0.013842,-0.122635,-0.815791,-0.036568,-0.128002,-0.914976,-0.055503,-0.029964,-0.53611,-0.004354,-0.037057,-0.752221,-0.019407,-0.039882,-0.887313,-0.04105,-0.044263,-0.997268,-0.059141,0.033893,-0.509278,-0.020965,0.032251,-0.709356,-0.038298,0.024367,-0.829217,-0.058343,0.012251,-0.927888,-0.073679,0.098319,-0.445032,-0.041751,0.120058,-0.595597,-0.055307,0.128545,-0.694398,-0.06481,0.131418,-0.784521,-0.072749
Hello,0.0,0.0,0.0,-0.103732,-0.115596,-0.0275,-0.179143,-0.288976,-0.04056,-0.230963,-0.433113,-0.055853,-0.285508,-0.524777,-0.070642,-0.098137,-0.517058,0.004568,-0.116648,-0.706814,-0.014148,-0.124272,-0.817904,-0.036584,-0.130117,-0.916335,-0.055136,-0.032608,-0.538088,-0.004222,-0.039212,-0.754927,-0.018735,-0.041848,-0.889273,-0.039843,-0.046246,-0.997277,-0.057452,0.031579,-0.511215,-0.020156,0.029798,-0.711385,-0.03725,0.02237,-0.831497,-0.057207,0.010624,-0.929151,-0.072386,0.096846,-0.446703,-0.040247,0.118202,-0.597199,-0.053354,0.126567,-0.695728,-0.06255,0.12946,-0.784847,-0.07028
Hello,0.0,0.0,0.0,-0.1014,-0.116783,-0.028506,-0.17496,-0.286779,-0.04361,-0.227472,-0.428743,-0.061039,-0.282955,-0.517516,-0.07784,-0.093377,-0.5182,0.0036,-0.113413,-0.706062,-0.017265,-0.122139,-0.816647,-0.041517,-0.128183,-0.915273,-0.061214,-0.028176,-0.536956,-0.005603,-0.035174,-0.752054,-0.022306,-0.037751,-0.887009,-0.044626,-0.041506,-0.99716,-0.062847,0.035576,-0.508801,-0.022134,0.032969,-0.707003,-0.04057,0.025129,-0.827544,-0.060418,0.013418,-0.926546,-0.075259,0.100494,-0.443815,-0.042998,0.121338,-0.594421,-0.056442,0.128998,-0.692757,-0.065131,0.131239,-0.781705,-0.072376
Hello,0.0,0.0,0.0,-0.101188,-0.119946,-0.027208,-0.174293,-0.288812,-0.041581,-0.225745,-0.429076,-0.058555,-0.279798,-0.520784,-0.074872,-0.092692,-0.52224,0.006308,-0.111661,-0.710751,-0.013736,-0.119892,-0.819905,-0.037447,-0.126278,-0.916785,-0.056573,-0.027373,-0.541002,-0.003098,-0.034314,-0.756639,-0.018368,-0.037002,-0.889828,-0.040017,-0.041187,-0.997473,-0.057888,0.036264,-0.512495,-0.019891,0.034188,-0.711506,-0.036911,0.027191,-0.831678,-0.056407,0.016275,-0.93033,-0.071258,0.101046,-0.44704,-0.040954,0.12175,-0.59729,-0.053276,0.12963,-0.695435,-0.061598,0.132775,-0.78446,-0.068684
Hello,0.0,0.0,0.0,-0.102195,-0.11935,-0.028057,-0.177067,-0.290593,-0.041776,-0.230443,-0.431334,-0.057783,-0.284559,-0.523838,-0.072845,-0.095653,-0.519433,0.006497,-0.114574,-0.710073,-0.011869,-0.122536,-0.819329,-0.034177,-0.128325,-0.916408,-0.052447,-0.029604,-0.539321,-0.001945,-0.035916,-0.755524,-0.015471,-0.037586,-0.889963,-0.036212,-0.040757,-0.997735,-0.053515,0.035063,-0.511614,-0.017796,0.033464,-0.711235,-0.033516,0.025744,-0.830263,-0.052524,0.013903,-0.926626,-0.06703,0.100787,-0.446802,-0.037992,0.120635,-0.596642,-0.049492,0.127586,-0.694885,-0.057477,0.129441,-0.783684,-0.064259
Hello,0.0,0.0,0.0,-0.102413,-0.115112,-0.028926,-0.177151,-0.285815,-0.043165,-0.23004,-0.426954,-0.059433,-0.2843,-0.518615,-0.074751,-0.094365,-0.516732,0.004392,-0.114401,-0.704618,-0.014472,-0.122863,-0.812815,-0.037442,-0.128795,-0.911434,-0.0565,-0.027459,-0.536601,-0.004227,-0.033705,-0.751475,-0.018817,-0.03484,-0.886864,-0.040279,-0.037911,-0.997578,-0.05832,0.037186,-0.507962,-0.020269,0.035274,-0.708416,-0.037443,0.027211,-0.827234,-0.057502,0.014219,-0.924291,-0.072739,0.10223,-0.441696,-0.04066,0.124989,-0.593675,-0.054146,0.132723,-0.693086,-0.063693,0.133304,-0.783418,-0.07164
Hello,0.0,0.0,0.0,-0.102238,-0.116242,-0.028928,-0.177724,-0.287068,-0.042859,-0.231571,-0.429035,-0.058786,-0.286726,-0.519782,-0.073458,-0.09495,-0.51881,0.006055,-0.113912,-0.707901,-0.013077,-0.123475,-0.815467,-0.036189,-0.131762,-0.913097,-0.054983,-0.028545,-0.537383,-0.002425,-0.034035,-0.750479,-0.016817,-0.035617,-0.886015,-0.038123,-0.039286,-0.997666,-0.055853,0.036485,-0.50865,-0.018539,0.035182,-0.706568,-0.035476,0.027753,-0.825172,-0.054967,0.015312,-0.921708,-0.069522,0.10202,-0.44336,-0.039106,0.125548,-0.593872,-0.052078,0.133835,-0.693204,-0.061022,0.13487,-0.783217,-0.068326
Hello,0.0,0.0,0.0,-0.103433,-0.112365,-0.03061,-0.177887,-0.285287,-0.044753,-0.231106,-0.429643,-0.060309,-0.286724,-0.523076,-0.074668,-0.095586,-0.517849,0.002343,-0.114915,-0.70819,-0.016059,-0.122372,-0.818608,-0.03819,-0.127877,-0.917989,-0.056637,-0.028549,-0.537405,-0.004915,-0.033968,-0.751774,-0.019054,-0.034583,-0.887116,-0.039766,-0.037359,-0.997668,-0.05712,0.036746,-0.508699,-0.019607,0.035689,-0.708374,-0.036374,0.028678,-0.827337,-0.056025,0.016938,-0.923729,-0.070821,0.102374,-0.443165,-0.038772,0.125644,-0.594417,-0.05225,0.134193,-0.693822,-0.06197,0.136054,-0.783805,-0.069815
Hello,0.0,0.0,0.0,-0.10039,-0.117011,-0.028855,-0.174078,-0.290485,-0.043161,-0.22582,-0.434612,-0.059511,-0.280064,-0.529179,-0.075195,-0.092094,-0.518021,0.003061,-0.109663,-0.709032,-0.017117,-0.116856,-0.821383,-0.04038,-0.122664,-0.920118,-0.059153,-0.026965,-0.535832,-0.00521,-0.031976,-0.753503,-0.020662,-0.032824,-0.888736,-0.04179,-0.035405,-0.997617,-0.059218,0.036605,-0.506721,-0.02082,0.035748,-0.707196,-0.038175,0.030172,-0.828057,-0.057516,0.020411,-0.926916,-0.072189,0.101357,-0.440469,-0.040776,0.122924,-0.590703,-0.053625,0.131528,-0.687836,-0.06203,0.135046,-0.775537,-0.069145
Hello,0.0,0.0,0.0,-0.103927,-0.115844,-0.030517,-0.178808,-0.288833,-0.04467,-0.231739,-0.434162,-0.060394,-0.286178,-0.528294,-0.075166,-0.096546,-0.51583,0.003363,-0.115489,-0.705421,-0.014954,-0.1228,-0.816376,-0.03749,-0.12758,-0.916208,-0.056324,-0.029708,-0.535653,-0.003809,-0.034485,-0.750027,-0.018139,-0.034977,-0.886152,-0.039663,-0.036967,-0.997648,-0.057721,0.035102,-0.507695,-0.018388,0.033895,-0.706587,-0.03511,0.026939,-0.826052,-0.055282,0.015483,-0.923439,-0.070641,0.10055,-0.442414,-0.037416,0.123625,-0.593019,-0.050357,0.131564,-0.691155,-0.059683,0.13276,-0.779909,-0.067514
Hello,0.0,0.0,0.0,-0.101545,-0.119694,-0.028723,-0.175281,-0.292182,-0.043058,-0.227784,-0.436784,-0.059464,-0.282434,-0.532064,-0.075105,-0.094027,-0.51922,0.004235,-0.111965,-0.708537,-0.014789,-0.119247,-0.820336,-0.037472,-0.124629,-0.919399,-0.056276,-0.028935,-0.537739,-0.004162,-0.033696,-0.753544,-0.019122,-0.034466,-0.88835,-0.040475,-0.036544,-0.997631,-0.058279,0.034675,-0.509357,-0.019891,0.033976,-0.709331,-0.037267,0.027672,-0.829933,-0.0572,0.017188,-0.928796,-0.072425,0.099623,-0.444286,-0.039901,0.122572,-0.592226,-0.053082,0.131432,-0.688799,-0.062207,0.134353,-0.776304,-0.069924
Hello,0.0,0.0,0.0,-0.10175,-0.118221,-0.029652,-0.175681,-0.289397,-0.04468,-0.228792,-0.433478,-0.061647,-0.283707,-0.526935,-0.077855,-0.096183,-0.516266,0.002843,-0.114774,-0.70533,-0.016854,-0.122438,-0.816864,-0.039888,-0.128047,-0.916094,-0.058908,-0.030589,-0.535922,-0.005366,-0.035113,-0.752084,-0.021025,-0.035799,-0.887886,-0.042463,-0.037872,-0.997468,-0.060188,0.033272,-0.507982,-0.020962,0.032313,-0.708112,-0.038733,0.025851,-0.828811,-0.058396,0.015475,-0.927206,-0.073385,0.098253,-0.442927,-0.040936,0.120594,-0.590053,-0.054268,0.129266,-0.686629,-0.063223,0.132394,-0.774097,-0.070806
Hello,0.0,0.0,0.0,-0.101985,-0.119029,-0.029684,-0.175523,-0.291328,-0.044197,-0.228337,-0.43467,-0.060547,-0.282801,-0.528224,-0.07623,-0.095588,-0.513389,0.002062,-0.113905,-0.703725,-0.017599,-0.121146,-0.815939,-0.04046,-0.126302,-0.915751,-0.059345,-0.029696,-0.533419,-0.006039,-0.034214,-0.749709,-0.021794,-0.034748,-0.88633,-0.043742,-0.037031,-0.997401,-0.061812,0.034736,-0.505609,-0.021409,0.033931,-0.706355,-0.039556,0.027331,-0.828004,-0.060129,0.016261,-0.927692,-0.075618,0.099731,-0.440566,-0.041027,0.121931,-0.587864,-0.054979,0.130741,-0.684975,-0.064548,0.133604,-0.773147,-0.072439
Hello,0.0,0.0,0.0,-0.103239,-0.117614,-0.030068,-0.176664,-0.289807,-0.044506,-0.228499,-0.434465,-0.060608,-0.283254,-0.528248,-0.075976,-0.094123,-0.516372,0.002844,-0.113732,-0.705605,-0.015987,-0.122063,-0.81694,-0.038722,-0.128033,-0.916738,-0.057686,-0.027726,-0.535865,-0.00492,-0.032613,-0.750914,-0.019801,-0.033725,-0.886802,-0.041769,-0.036583,-0.997525,-0.060047,0.036386,-0.507071,-0.020014,0.035791,-0.706024,-0.037465,0.028537,-0.827869,-0.058386,0.016701,-0.927875,-0.074326,0.101099,-0.441249,-0.039408,0.124354,-0.589198,-0.05297,0.132932,-0.686427,-0.062796,0.135033,-0.774746,-0.071005
Hello,0.0,0.0,0.0,-0.101969,-0.112648,-0.030659,-0.175876,-0.284504,-0.044889,-0.229374,-0.428786,-0.060347,-0.284804,-0.521793,-0.074515,-0.095219,-0.516274,0.002385,-0.115731,-0.704814,-0.015968,-0.124609,-0.814063,-0.038177,-0.1314,-0.913973,-0.056627,-0.028723,-0.535399,-0.005154,-0.033538,-0.747511,-0.019077,-0.033455,-0.884099,-0.039699,-0.035448,-0.997754,-0.056838,0.035887,-0.505748,-0.020172,0.035176,-0.70292,-0.037438,0.029938,-0.821644,-0.057467,0.020082,-0.920242,-0.07219,0.100587,-0.439857,-0.039563,0.124632,-0.591627,-0.053871,0.134586,-0.691921,-0.063782,0.13778,-0.784316,-0.071554
Hello,0.0,0.0,0.0,-0.103022,-0.11896,-0.029355,-0.177646,-0.292197,-0.043635,-0.230187,-0.437062,-0.059812,-0.28519,-0.530318,-0.075364,-0.09625,-0.517348,0.003161,-0.115825,-0.706932,-0.016693,-0.123984,-0.819566,-0.040086,-0.130067,-0.920089,-0.059277,-0.03028,-0.536735,-0.004997,-0.034384,-0.752052,-0.020871,-0.034814,-0.887241,-0.042832,-0.036626,-0.997472,-0.060903,0.033963,-0.509081,-0.020498,0.032723,-0.706465,-0.038272,0.025992,-0.826654,-0.058474,0.015365,-0.925242,-0.073766,0.099099,-0.444611,-0.040365,0.121153,-0.593611,-0.053367,0.129047,-0.690358,-0.062254,0.131197,-0.777606,-0.069825
Hello,0.0,0.0,0.0,-0.101118,-0.11812,-0.02992,-0.174664,-0.290771,-0.044187,-0.225429,-0.437347,-0.060529,-0.279384,-0.53244,-0.076092,-0.095335,-0.520676,0.004688,-0.112459,-0.711409,-0.014914,-0.120575,-0.822972,-0.037971,-0.127712,-0.921552,-0.056623,-0.029489,-0.540348,-0.002739,-0.032409,-0.756471,-0.01731,-0.032694,-0.890629,-0.038091,-0.035111,-0.997843,-0.055465,0.034479,-0.511984,-0.017837,0.035235,-0.710586,-0.034364,0.03054,-0.829815,-0.054029,0.021319,-0.926261,-0.069018,0.099256,-0.446335,-0.037455,0.121406,-0.595899,-0.049419,0.130127,-0.691808,-0.058012,0.133658,-0.77707,-0.065442
Hello,0.0,0.0,0.0,-0.100946,-0.118062,-0.030979,-0.175354,-0.285679,-0.047198,-0.227776,-0.427966,-0.065111,-0.280552,-0.524586,-0.082265,-0.095375,-0.513904,-0.000886,-0.11381,-0.704873,-0.022166,-0.121711,-0.817131,-0.045817,-0.127921,-0.917862,-0.065006,-0.02868,-0.533567,-0.00885,-0.032903,-0.749117,-0.026005,-0.033667,-0.885757,-0.04841,-0.036475,-0.997105,-0.066721,0.035966,-0.50493,-0.024158,0.03612,-0.704144,-0.043643,0.029286,-0.826428,-0.064734,0.017914,-0.927147,-0.080397,0.100344,-0.439271,-0.043737,0.123583,-0.586232,-0.058763,0.133365,-0.684072,-0.068903,0.137156,-0.773118,-0.077073
Hello,0.0,0.0,0.0,-0.101947,-0.118159,-0.030482,-0.176762,-0.288293,-0.046489,-0.228481,-0.430167,-0.064162,-0.281032,-0.525072,-0.081088,-0.093671,-0.515863,-0.000703,-0.11162,-0.707479,-0.021584,-0.119729,-0.818766,-0.045244,-0.126369,-0.918229,-0.064278,-0.027537,-0.533544,-0.008731,-0.030995,-0.749965,-0.02467,-0.031856,-0.886683,-0.046844,-0.035059,-0.997261,-0.065124,0.036558,-0.503506,-0.024012,0.036941,-0.703011,-0.041975,0.030515,-0.825253,-0.062868,0.019255,-0.924983,-0.078679,0.100624,-0.437085,-0.04356,0.123978,-0.585562,-0.057323,0.133406,-0.68281,-0.066869,0.136875,-0.771021,-0.074755
Hello,0.0,0.0,0.0,-0.103194,-0.118193,-0.033136,-0.179579,-0.289971,-0.049508,-0.233133,-0.431786,-0.066519,-0.284619,-0.527986,-0.082042,-0.095935,-0.51801,-0.002497,-0.115845,-0.710304,-0.023371,-0.124546,-0.82139,-0.046822,-0.13273,-0.920726,-0.065622,-0.028779,-0.5346,-0.008832,-0.031971,-0.748187,-0.024736,-0.032583,-0.885031,-0.046565,-0.036351,-0.997259,-0.064436,0.035737,-0.504132,-0.022738,0.036373,-0.701615,-0.040928,0.02982,-0.824101,-0.062077,0.018079,-0.92347,-0.077647,0.099909,-0.437592,-0.041103,0.124528,-0.58587,-0.055731,0.134343,-0.684931,-0.06619,0.136607,-0.774416,-0.074319
